,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,2869.017045,0.020866209,0.063145733,0.330445276,0.741063536,0.999998189
ENSMUSG00000000028,168.387731,0.142925707,0.184118285,0.776271121,0.43758892,0.999998189
ENSMUSG00000000037,32.35165106,-0.248717486,0.404763224,-0.614476492,0.538900503,0.999998189
ENSMUSG00000000049,19.70590116,-0.153493634,0.532748304,-0.288116608,0.77325748,0.999998189
ENSMUSG00000000056,463.0058592,-0.051558467,0.114835681,-0.448976023,0.653448953,0.999998189
ENSMUSG00000000058,2006.654115,0.043146585,0.07260231,0.594286672,0.552320392,0.999998189
ENSMUSG00000000078,3654.691029,0.051824388,0.056563043,0.916223472,0.359549697,0.999998189
ENSMUSG00000000085,1028.735986,-0.009817732,0.092967187,-0.105604274,0.915896333,0.999998189
ENSMUSG00000000088,1944.108145,-0.055945369,0.068883944,-0.812168487,0.416694959,0.999998189
ENSMUSG00000000093,255.9870999,-0.074255984,0.152887441,-0.485690544,0.627186589,0.999998189
ENSMUSG00000000094,10.59318684,0.289728375,0.691865182,0.418764207,0.675388466,NA
ENSMUSG00000000120,290.9423058,0.12052237,0.154038744,0.782415949,0.433970164,0.999998189
ENSMUSG00000000125,63.21933214,0.242403715,0.294241889,0.823824629,0.410039211,0.999998189
ENSMUSG00000000126,737.7410615,0.070138468,0.094354387,0.743351417,0.45726895,0.999998189
ENSMUSG00000000127,506.6037861,0.025816478,0.108896332,0.237073902,0.812599459,0.999998189
ENSMUSG00000000131,1534.619688,0.001430214,0.071222033,0.020081055,0.983978713,0.999998189
ENSMUSG00000000134,1321.861541,-0.04831835,0.083251036,-0.580393373,0.561649373,0.999998189
ENSMUSG00000000142,1147.674548,-0.02866427,0.082159189,-0.348886959,0.727174176,0.999998189
ENSMUSG00000000148,621.5295442,-0.062287397,0.105969703,-0.587784953,0.556676645,0.999998189
ENSMUSG00000000149,4519.114888,0.014361608,0.060105313,0.238940732,0.811151541,0.999998189
ENSMUSG00000000154,70.63788699,0.122059365,0.28096404,0.43443056,0.66397581,0.999998189
ENSMUSG00000000167,154.7347255,-0.042354129,0.189542606,-0.223454399,0.82318187,0.999998189
ENSMUSG00000000168,1856.734383,-0.013350275,0.073466493,-0.181719233,0.855803072,0.999998189
ENSMUSG00000000171,2031.852244,-0.056664243,0.068499058,-0.827226598,0.408108639,0.999998189
ENSMUSG00000000184,39377.09358,0.140210378,0.053321789,2.629513744,0.008550708,0.908401834
ENSMUSG00000000194,2687.642347,-0.100376336,0.063674412,-1.576399878,0.114933676,0.999998189
ENSMUSG00000000197,603.4908459,-0.052750675,0.103688807,-0.508740303,0.610934268,0.999998189
ENSMUSG00000000202,148.0963356,0.020907912,0.199949195,0.104566124,0.916720096,0.999998189
ENSMUSG00000000223,311.5317495,0.002368127,0.139167115,0.017016428,0.98642351,0.999998189
ENSMUSG00000000244,5.70388513,-0.526541113,0.932962272,-0.564375569,0.572498562,NA
ENSMUSG00000000247,2946.532619,-0.022714248,0.059494099,-0.381789929,0.70261719,0.999998189
ENSMUSG00000000248,12.95697071,-0.300969856,0.638794044,-0.471153197,0.637531338,NA
ENSMUSG00000000253,930.5781634,-0.043568036,0.087694829,-0.496814197,0.619320083,0.999998189
ENSMUSG00000000266,1034.472161,0.050784358,0.083917531,0.605169828,0.545066161,0.999998189
ENSMUSG00000000275,1296.84312,0.146698737,0.084318583,1.739815014,0.081891505,0.999998189
ENSMUSG00000000276,327.774938,0.05800581,0.131941665,0.439632238,0.660203488,0.999998189
ENSMUSG00000000278,7888.164616,-0.051337311,0.05819037,-0.882230373,0.37765224,0.999998189
ENSMUSG00000000282,614.4167487,0.013635289,0.100897428,0.135140107,0.8925011,0.999998189
ENSMUSG00000000290,637.852563,0.19375818,0.104942929,1.846319542,0.064845822,0.999998189
ENSMUSG00000000295,260.1237329,-0.068467288,0.151429431,-0.452139899,0.651168202,0.999998189
ENSMUSG00000000296,170.9647663,-0.068445471,0.184863341,-0.370249022,0.711196954,0.999998189
ENSMUSG00000000301,53.93582676,-0.010177503,0.314432372,-0.03236786,0.974178693,0.999998189
ENSMUSG00000000303,8.918375378,1.46060299,0.766077938,1.906598424,0.056572609,NA
ENSMUSG00000000305,1501.33361,0.171309595,0.079075312,2.166410605,0.030279824,0.999998189
ENSMUSG00000000308,255.4853395,0.026534879,0.159163615,0.166714476,0.867594715,0.999998189
ENSMUSG00000000317,17.36755081,0.357247874,0.567382186,0.629642388,0.528928584,0.999998189
ENSMUSG00000000320,56.22241913,6.94E-07,0.305553607,2.27E-06,0.999998189,0.999998189
ENSMUSG00000000326,2322.457607,-0.070734916,0.06351164,-1.113731541,0.265394374,0.999998189
ENSMUSG00000000339,1060.640604,0.016357767,0.08264011,0.197939806,0.843092159,0.999998189
ENSMUSG00000000340,659.2594226,0.131144812,0.119521782,1.097246127,0.272533814,0.999998189
ENSMUSG00000000346,4522.549802,-0.067677826,0.054500989,-1.241772438,0.214320535,0.999998189
ENSMUSG00000000355,531.0921738,-0.133326734,0.117878498,-1.131052201,0.258033121,0.999998189
ENSMUSG00000000359,5.555046881,-0.027700676,0.980140832,-0.028261934,0.977453241,NA
ENSMUSG00000000365,16.62304314,0.095325103,0.599128407,0.159106298,0.873585126,0.999998189
ENSMUSG00000000374,1898.369524,-0.001927881,0.070533775,-0.027332742,0.978194342,0.999998189
ENSMUSG00000000378,1242.443559,-0.020436586,0.081054812,-0.252132912,0.800938332,0.999998189
ENSMUSG00000000384,591.495738,-0.01991984,0.11124955,-0.179055466,0.85789415,0.999998189
ENSMUSG00000000385,5.840359093,0.719385504,0.966288826,0.744482896,0.456584385,NA
ENSMUSG00000000386,19.97956634,0.057275057,0.53621144,0.106814315,0.914936291,0.999998189
ENSMUSG00000000399,2822.826267,0.004624453,0.061100647,0.075685833,0.939669047,0.999998189
ENSMUSG00000000409,14.13535391,-0.472985503,0.624528326,-0.757348359,0.448841186,NA
ENSMUSG00000000416,482.5775629,0.006983452,0.113499028,0.061528739,0.950938128,0.999998189
ENSMUSG00000000420,3097.134388,0.010324974,0.062851374,0.164276021,0.869513857,0.999998189
